City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
386,Cockburn Town,TC,21.4612,-71.1419,83.08,75,18,15.55,few clouds
387,Nedjo,ET,9.5046,35.5019,56.12,90,47,0.85,scattered clouds
388,Portland,US,45.5234,-122.6762,50.29,94,100,4.61,heavy intensity rain
389,Canatlan,MX,24.5167,-104.7833,66.63,45,6,8.03,clear sky
390,Tura,IN,25.5198,90.2201,66.85,81,0,5.12,clear sky
391,Chifeng,CN,42.2683,118.9636,39.52,71,4,1.41,clear sky
392,Dawlatabad,AF,36.4141,64.9053,65.28,14,97,1.9,overcast clouds
393,San Rafael Del Sur,NI,11.8485,-86.4384,77.23,89,47,0.36,scattered clouds
394,Arman,RU,59.7,150.1667,16.02,55,69,8.97,broken clouds
395,Nouadhibou,MR,20.931,-17.0347,72.73,73,22,19.8,few clouds
396,Weligama,LK,5.9667,80.4167,75.16,91,100,7.45,overcast clouds
397,Beringovskiy,RU,63.05,179.3167,34.14,80,92,4.14,overcast clouds
398,Borova,UA,50.1763,30.1043,36.34,63,97,6.73,overcast clouds
399,Santona,ES,43.4439,-3.4576,71.91,62,50,10.38,scattered clouds
400,Luwingu,ZM,-10.2621,29.9271,67.71,39,87,4.36,overcast clouds
401,Sorong,ID,-0.8833,131.25,81.46,80,100,1.74,overcast clouds
402,Troitskoye,RU,52.9821,84.6757,45.81,75,100,8.16,overcast clouds
403,Luderitz,NA,-26.6481,15.1594,59.61,79,1,18.86,clear sky
404,Saint-Denis,FR,48.9167,2.3333,60.96,83,0,11.5,clear sky
405,Saint-Paul,RE,-21.0096,55.2707,71.69,71,12,1.68,few clouds
406,Naryan-Mar,RU,67.6713,53.087,34.56,76,99,18.28,light snow
407,Baherden,TM,38.4362,57.4316,70.16,65,49,7.09,scattered clouds
408,Tres Picos,MX,15.8667,-93.5333,80.08,80,79,2.46,broken clouds
409,Bajil,YE,15.0584,43.2851,82.99,65,0,3.29,clear sky
410,Chicama,PE,-7.8447,-79.1469,57.74,78,86,6.78,overcast clouds
411,Guerrero Negro,MX,27.9769,-114.0611,74.86,61,12,12.39,few clouds
412,Vieques,PR,18.425,-65.8329,80.64,78,20,6.91,few clouds
413,Kavaratti,IN,10.5669,72.642,80.85,79,61,7.0,broken clouds
414,Borisoglebsk,RU,51.3671,42.0849,38.35,74,89,6.06,overcast clouds
415,Ulverstone,AU,-41.15,146.1667,63.21,99,100,2.3,light rain
416,Vila Velha,BR,-20.3297,-40.2925,74.95,86,75,10.0,broken clouds
