City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Chanderi,IN,2022-10-20 19:07:12,24.7167,78.1333,67.77,59,0,3.06
169,Luderitz,NA,2022-10-20 19:07:45,-26.6481,15.1594,65.23,61,93,21.5
170,Glenwood Springs,US,2022-10-20 19:07:46,39.5505,-107.3248,70.07,24,0,4.61
171,Constitucion,CL,2022-10-20 19:07:47,-35.3333,-72.4167,61.61,60,28,16.8
172,Avarua,CK,2022-10-20 19:07:47,-21.2078,-159.775,77.05,73,40,12.66
173,Horta,PT,2022-10-20 19:07:48,38.5333,-28.6333,67.64,64,20,6.91
174,The Valley,AI,2022-10-20 19:07:49,18.217,-63.0578,84.81,74,20,16.11
175,Bethel,US,2022-10-20 19:03:28,41.3712,-73.414,59.09,42,0,11.5
176,Severo-Kurilsk,RU,2022-10-20 19:07:50,50.6789,156.125,42.96,80,100,8.43
177,Tuatapere,NZ,2022-10-20 19:05:59,-46.1333,167.6833,43.41,67,100,3.87
178,Rijeka,HR,2022-10-20 19:07:50,45.3431,14.4092,62.2,78,0,3.0
179,Kazachinskoye,RU,2022-10-20 19:06:13,57.6953,93.2761,34.23,89,100,4.99
180,Rawah,IQ,2022-10-20 19:07:51,34.4816,41.9093,76.62,33,1,4.72
181,Walvis Bay,NA,2022-10-20 19:07:52,-22.9575,14.5053,60.1,84,100,15.21
182,Conakry,GN,2022-10-20 19:06:20,9.538,-13.6773,80.55,79,5,6.91
183,Broome,US,2022-10-20 19:03:43,42.2506,-75.833,52.7,42,75,10.36
184,Vestmannaeyjar,IS,2022-10-20 19:08:54,63.4427,-20.2734,42.8,74,67,12.01
185,Oranjemund,NA,2022-10-20 19:08:55,-28.55,16.4333,60.35,83,100,22.15
186,Olinda,BR,2022-10-20 19:05:54,-8.0089,-34.8553,79.36,61,38,12.06
187,Sabzevar,IR,2022-10-20 19:07:24,36.2126,57.6819,64.15,37,56,0.92
188,Boyolangu,ID,2022-10-20 19:08:56,-8.1181,111.8935,76.19,91,100,1.07
189,Airai,TL,2022-10-20 19:08:56,-8.9266,125.4092,62.58,93,100,0.54
190,Geraldton,AU,2022-10-20 19:08:57,-28.7667,114.6,62.46,87,25,8.08
191,Oboyan,RU,2022-10-20 19:08:57,51.2098,36.2792,43.9,88,100,15.84
192,Acapulco,MX,2022-10-20 19:06:47,16.8634,-99.8901,78.06,88,100,7.74
193,Lorengau,PG,2022-10-20 19:06:49,-2.0226,147.2712,80.46,76,45,4.18
194,West Bay,KY,2022-10-20 19:08:58,19.3667,-81.4167,84.06,83,75,9.22
195,Lavrentiya,RU,2022-10-20 19:08:59,65.5833,-171.0,35.17,99,100,6.29
196,Tupancireta,BR,2022-10-20 19:09:02,-29.0806,-53.8358,68.02,91,100,10.89
197,Sola,VU,2022-10-20 19:09:02,-13.8833,167.55,80.01,79,56,16.75
198,Cockburn Town,TC,2022-10-20 19:07:57,21.4612,-71.1419,82.99,74,17,12.93
199,Moose Factory,CA,2022-10-20 19:09:04,51.2585,-80.6094,35.58,93,100,14.97
200,Amantea,IT,2022-10-20 19:09:04,39.1332,16.0746,67.15,68,0,3.58
201,Port Blair,IN,2022-10-20 19:09:05,11.6667,92.75,80.6,78,60,10.56
202,Debre Tabor,ET,2022-10-20 19:09:06,11.85,38.0167,52.5,80,39,2.89
203,Lazaro Cardenas,MX,2022-10-20 19:07:58,17.9583,-102.2,81.27,81,100,8.23
204,Beringovskiy,RU,2022-10-20 19:09:09,63.05,179.3167,36.32,84,33,6.46
205,Saldanha,ZA,2022-10-20 19:09:09,-33.0117,17.9442,60.78,74,43,24.27
206,Timbiqui,CO,2022-10-20 19:09:10,2.7717,-77.6654,78.75,82,100,4.88
207,Fort Nelson,CA,2022-10-20 19:09:11,58.8053,-122.7002,56.95,29,19,13.0
208,Auki,SB,2022-10-20 19:09:11,-8.7676,160.7034,77.58,87,58,4.47
209,Kalawit,PH,2022-10-20 19:09:12,8.0667,122.5167,78.31,87,100,1.79
210,Ballater,GB,2022-10-20 19:09:13,57.0493,-3.0402,50.0,91,100,3.0
211,Norman Wells,CA,2022-10-20 19:09:13,65.282,-126.8329,30.24,86,75,11.5
